xpos_error,iterations
0.000996848810165733,832
0.0009994940771698713,567
0.0009969394417739432,197
0.0009950163476026381,426
0.0009945803927277025,439
0.0009832026146612985,189
0.0009928016012767063,414
0.0009975728847664682,541
0.000999589959089486,680
0.0009985001618121705,760
0.0009999376542838532,8771
0.000999670987322629,1725
0.0009937097254765323,382
0.0009932529685710285,479
0.0009924549780110986,321
0.0009991313753828315,930
0.0009790619593621345,184
0.00099280607257703,187
0.0009998469858389439,8351
0.0009906498558196835,282
0.000997118373028031,245
0.0009917041465787842,457
0.000999654090227289,2053
0.000987093917856368,208
0.0009908462994477753,219
0.0009955038963096671,206
0.0009975803534868891,451
0.0009998427043515503,1868
0.0009975728847664682,541
0.0009979614994538313,180
0.000993043708388068,161
0.0009884065507701635,315
0.0009977850419103642,278
0.0009997241770538048,2902
0.0009929630474029387,254
0.0009998924760549943,8549
0.0009988262342804453,801
0.000999636024036401,2802
0.000999993431859924,8278
0.0009973252028900083,402
0.0009883672990591136,383
0.0009982347372659653,509
0.0009831060742732675,121
0.000996555201761698,224
0.0009961278066578023,449
0.000993776948697672,641
0.0009755913836173455,117
0.0009895227322304875,280
0.0009871170548321664,157
0.000997760086401864,671
0.0009990991069645475,2207
0.0009999586594716188,3669
0.05533276526234036,20000
0.0009999442280243344,511
0.0009778157284147052,164
0.0009774219385077036,181
0.0009987551583307823,830
0.0009952470596539813,59
0.0009873296556682021,250
0.0009869855832317395,194
0.0009998092557370923,8746
0.0009997638359408455,1997
0.0009948037157875029,664
0.0009996826738572478,10775
0.0009975415714390627,1576
0.0009902574857855698,247
0.0009881389747361607,137
0.0009999978863202766,14924
0.0009807447507528466,75
0.0009959548816119816,806
0.000999989011537388,4458
0.000999244629329701,861
0.0009998887651795545,13654
0.0009993179055967421,4088
0.0009867033886788417,356
0.000985391550527668,251
0.0009828763370254578,313
0.0009995427742282368,1330
0.0009995756877878071,3943
0.0009996220825057537,4356
0.0009926359313948805,140
0.0009998239288925709,3461
0.0009965557229366531,1128
0.000996853948014624,573
0.0009998612568014314,2744
0.000995110729665509,685
0.0009975318099853668,967
0.00099279284475423,404
0.0009977898617574523,1163
0.0009832362117912939,271
0.0009883661085433636,261
0.0009944909750724646,111
0.0009949717660506468,587
0.0009997747639646495,1327
0.0009995366626392725,6192
0.0009997145100968698,2373
0.0009983116712745433,684
0.0009998001391676383,1775
0.0009943617955340551,189
0.0009951273451637259,65
